"","depth_mm","Ca"
"2312",226.375,546.35652173913
"2313",226.475,547.5
"2314",226.575,543.204347826087
"2315",226.675,550.130434782609
"2316",226.775,550.060869565217
"2317",226.875,536.086956521739
"2318",226.975,548.547826086957
"2319",227.075,548.039130434783
"2320",227.175,552.165217391304
"2321",227.275,544.469565217391
"2322",227.375,538.030701754386
"2323",227.475,534.707423580786
"2324",227.575,534.765217391304
"2325",227.675,531.434782608696
"2326",227.775,525.086956521739
"2327",227.875,522.598253275109
"2328",227.975,535.265217391304
"2329",228.075,517.095652173913
"2330",228.175,503.504347826087
"2331",228.275,511.039130434783
"2332",228.375,511.434782608696
"2333",228.475,499.891304347826
"2334",228.575,514.004347826087
"2335",228.675,509.891304347826
"2336",228.775,500.539130434783
"2337",228.875,501.786956521739
"2338",228.975,518.286956521739
"2339",229.075,502.121739130435
"2340",229.175,498.308695652174
"2341",229.275,507.34347826087
"2342",229.375,502.969565217391
"2343",229.475,512.882608695652
"2344",229.575,520.560869565217
"2345",229.675,513.221739130435
"2346",229.775,507.982608695652
"2347",229.875,525.147826086957
"2348",229.975,528.621739130435
"2349",230.075,511.839130434783
"2350",230.175,538.465217391304
"2351",230.275,537.982608695652
"2352",230.375,518.226086956522
"2353",230.475,517.821739130435
"2354",230.575,514.626086956522
"2355",230.675,508.252173913043
"2356",230.775,507.804347826087
"2357",230.875,506.55652173913
"2358",230.975,511.604347826087
"2359",231.075,503.926086956522
"2360",231.175,495.969565217391
"2361",231.275,511.808695652174
"2362",231.375,509.295652173913
"2363",231.475,510.421739130435
"2364",231.575,513.612334801762
"2365",231.675,525.444933920705
"2366",231.775,532.128318584071
"2367",231.875,535.864628820961
"2368",231.975,544
"2369",232.075,537.073913043478
"2370",232.175,545.569565217391
"2371",232.275,564.726086956522
"2372",232.375,554.591304347826
"2373",232.475,560.139130434783
"2374",232.575,559.3
"2375",232.675,534.669565217391
"2376",232.775,542.573913043478
"2377",232.875,524.44347826087
"2378",232.975,531.547826086957
"2379",233.075,520.84347826087
"2380",233.175,528.095652173913
"2381",233.275,532.708695652174
"2382",233.375,530.095652173913
"2383",233.475,536.934782608696
"2384",233.575,536.234782608696
"2385",233.675,540.826086956522
"2386",233.775,539.691304347826
"2387",233.875,539.413043478261
"2388",233.975,553.386956521739
"2389",234.075,546.047826086957
"2390",234.175,544.030434782609
"2391",234.275,543.92576419214
"2392",234.375,534.160869565217
"2393",234.475,536.026086956522
"2394",234.575,539.178260869565
"2395",234.675,548.026086956522
"2396",234.775,570.736842105263
"2397",234.875,536.244541484716
"2398",234.975,543.434782608696
"2399",235.075,542.639130434783
"2400",235.175,531.352173913043
"2401",235.275,542.930434782609
"2402",235.375,551.859649122807
"2403",235.475,535.593886462882
"2404",235.575,539.221739130435
"2405",235.675,537.508695652174
"2406",235.775,546.582608695652
"2407",235.875,542.608695652174
"2408",235.975,542.169565217391
"2409",236.075,531.930434782609
"2410",236.175,540.121739130435
"2411",236.275,555.730434782609
"2412",236.375,534.295652173913
"2413",236.475,528.008695652174
"2414",236.575,534.247826086956
"2415",236.675,538.408695652174
"2416",236.775,537.413043478261
"2417",236.875,522.391304347826
"2418",236.975,544.091304347826
"2419",237.075,526.04347826087
"2420",237.175,507.573913043478
"2421",237.275,512.739130434783
"2422",237.375,504.1
"2423",237.475,509.069565217391
"2424",237.575,515.35652173913
"2425",237.675,504.982608695652
"2426",237.775,492.647826086957
"2427",237.875,492.469565217391
"2428",237.975,492.713043478261
"2429",238.075,487.039130434783
"2430",238.175,475.686956521739
"2431",238.275,484.660869565217
"2432",238.375,484.126086956522
"2433",238.475,484.817391304348
"2434",238.575,484.073913043478
"2435",238.675,475.469565217391
"2436",238.775,469.269565217391
"2437",238.875,475.334782608696
"2438",238.975,478.052173913043
"2439",239.075,474.004347826087
