metres,GR,helper
254.9652,23.0503,2
255.1176,25.4929,2
255.27,25.7566,2
255.4224,22.3613,2
255.5748,18.0737,2
255.7272,13.9004,2
255.8796,11.3598,2
256.032,11.4037,2
256.1844,13.1576,2
256.3368,13.329,2
256.4892,12.3093,2
256.6416,11.3819,2
256.794,11.9909,2
256.9464,12.9739,2
257.0988,13.6822,2
257.2512,14.1542,2
257.4036,14.2697,2
257.556,14.1498,2
257.7084,12.9032,2
257.8608,11.1795,2
258.0132,10.8777,2
258.1656,11.5341,2
258.318,12.6599,2
258.4704,13.0404,2
258.6228,12.3521,2
258.7752,12.695,2
258.9276,13.2833,2
259.08,13.5334,2
259.2324,12.7558,2
259.3848,13.0468,2
259.5372,13.3955,2
259.6896,13.6646,2
259.842,13.7152,2
259.9944,13.9374,2
260.1468,14.0841,2
260.2992,12.7719,2
260.4516,12.4115,2
260.604,12.1213,2
260.7564,11.2768,2
260.9088,11.2121,2
261.0612,11.4966,2
261.2136,11.6471,2
261.366,10.3069,2
261.5184,9.4419,2
261.6708,8.8417,2
261.8232,8.5401,2
261.9756,9.6389,2
262.128,10.8376,2
262.2804,12.029,2
262.4328,11.5378,2
262.5852,11.7998,2
262.7376,12.4484,2
262.89,12.9016,2
263.0424,12.8099,2
263.1948,12.4576,2
263.3472,12.0508,2
263.4996,12.915,2
263.652,14.3087,2
263.8044,13.7987,2
263.9568,13.4202,2
264.1092,13.4161,2
264.2616,13.7097,2
264.414,14.7049,2
264.5664,15.8551,2
264.7188,16.1615,2
264.8712,14.7894,2
265.0236,14.3184,2
265.176,14.4076,2
265.3284,13.6428,2
265.4808,13.1753,2
265.6332,13.3917,2
